Brand,Model,Capacity,Energy Rating,Type,Features,Color,Material,Warranty Period,Country of Manufacture,Price,Random Numeric Feature 1,Random Text Feature 2,Irrelevant Category Feature 3
Electrolux,Model2867,293.0,A++,,Ice Dispenser,Gray,Stainless Steel,8.0,China,1387.0,1217.0,Text2867,Category2
Electrolux,Model2868,685.0,B,Side-by-Side,Ice Dispenser,Black,Glass,9.0,Germany,1246.0,2858.0,Text2868,Category1
Electrolux,Model2869,509.0,A++,Single Door,Smart Connectivity,White,Plastic,8.0,China,664.0,,Text2869,Category3
Whirlpool,Model2870,718.0,A++,Side-by-Side,Water Dispenser,,Glass,2.0,USA,1601.0,3820.0,Text2870,Category1
LG,Model2871,383.0,A,Double Door,Ice Dispenser,,Stainless Steel,2.0,Germany,264.0,4506.0,Text2871,Category1
Samsung,Model2872,636.0,A,Double Door,Water Dispenser,Silver,Plastic,5.0,China,435.0,1372.0,Text2872,Category2
Frigidaire,Model2873,603.0,B,Double Door,None,White,Glass,9.0,India,261.0,1849.0,Text2873,Category2
LG,Model2874,772.0,B,Single Door,Ice Dispenser,Black,Plastic,6.0,USA,984.0,1208.0,Text2874,Category3
Panasonic,Model2875,781.0,A+,Single Door,Smart Connectivity,Gray,Stainless Steel,7.0,China,255.0,3473.0,Text2875,Category3
Siemens,Model2876,540.0,A+,Double Door,None,Silver,Stainless Steel,1.0,USA,746.0,1717.0,Text2876,
GE,Model2877,423.0,A++,Side-by-Side,Water Dispenser,Silver,Plastic,1.0,China,1242.0,4983.0,Text2877,
GE,Model2878,549.0,A+,Single Door,Water Dispenser,Gray,Stainless Steel,,India,1192.0,3083.0,Text2878,Category1
LG,Model2879,679.0,B,Double Door,Smart Connectivity,Black,Plastic,,China,,4349.0,Text2879,Category1
Panasonic,Model2880,134.0,B,Double Door,Smart Connectivity,Black,Glass,4.0,China,809.0,3552.0,Text2880,Category1
Bosch,Model2881,541.0,A+,Side-by-Side,Ice Dispenser,White,Glass,8.0,Germany,1867.0,4489.0,Text2881,Category2
Samsung,Model2882,770.0,A++,Side-by-Side,Ice Dispenser,White,Stainless Steel,5.0,,1879.0,4666.0,Text2882,Category2
Bosch,Model2883,254.0,A,Single Door,Smart Connectivity,White,Stainless Steel,1.0,Germany,1477.0,2859.0,Text2883,Category1
Whirlpool,Model2884,,A+,Double Door,None,Gray,Plastic,5.0,,851.0,4089.0,Text2884,Category1
Panasonic,Model2885,447.0,A++,Single Door,None,Silver,Plastic,5.0,China,997.0,2358.0,Text2885,Category1
Siemens,Model2886,235.0,A++,Side-by-Side,Ice Dispenser,,Stainless Steel,3.0,Germany,1049.0,2031.0,Text2886,Category3
LG,Model2887,533.0,B,Side-by-Side,Smart Connectivity,Black,Plastic,3.0,India,1344.0,4184.0,Text2887,Category2
Electrolux,Model2888,563.0,A++,Double Door,Water Dispenser,White,Plastic,5.0,USA,1240.0,1297.0,Text2888,Category3
Electrolux,Model2889,294.0,A+,,None,Silver,Plastic,3.0,India,817.0,4236.0,Text2889,Category1
GE,Model2890,225.0,A+,,None,Black,Stainless Steel,9.0,,1422.0,1392.0,Text2890,Category2
Frigidaire,Model2891,302.0,A+,Single Door,Smart Connectivity,,Plastic,9.0,Germany,1863.0,2933.0,Text2891,Category1
Bosch,Model2892,361.0,A+,,None,White,Stainless Steel,4.0,USA,1777.0,2728.0,Text2892,Category3
Haier,Model2893,654.0,B,Double Door,None,Silver,Glass,9.0,India,235.0,1282.0,Text2893,Category2
GE,Model2894,713.0,B,Single Door,Ice Dispenser,Gray,Stainless Steel,4.0,USA,1600.0,3153.0,Text2894,
LG,Model2895,667.0,B,Double Door,None,Silver,Stainless Steel,3.0,India,,3612.0,Text2895,Category2
Panasonic,Model2896,674.0,A++,Side-by-Side,None,Gray,Stainless Steel,8.0,India,1863.0,4313.0,Text2896,Category3
GE,Model2897,235.0,A++,Side-by-Side,Ice Dispenser,Silver,Glass,5.0,Germany,1405.0,4082.0,Text2897,Category2
Panasonic,Model2898,249.0,A,Side-by-Side,Water Dispenser,White,Stainless Steel,1.0,India,1828.0,3829.0,Text2898,Category2
GE,,345.0,A+,Side-by-Side,None,Gray,Stainless Steel,1.0,USA,943.0,1604.0,Text2899,Category3
Samsung,Model2900,705.0,A++,Single Door,None,Gray,Glass,6.0,USA,232.0,3436.0,Text2900,Category3
Haier,Model2901,537.0,A,Double Door,Water Dispenser,Black,Plastic,1.0,China,1144.0,3685.0,Text2901,Category3
Br@ndX,Model2902,397.0,A+,Side-by-Side,Smart Connectivity,Gray,Plastic,1.0,Germany,1742.0,1474.0,Text2902,Category3
LG,Model2903,590.0,A++,Single Door,Ice Dispenser,Gray,Stainless Steel,9.0,USA,1981.0,2885.0,Text2903,
Br@ndX,Model2904,679.0,A+,Single Door,Ice Dispenser,Silver,,5.0,China,1432.0,2558.0,Text2904,Category3
Frigidaire,Model2905,415.0,A,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,3.0,USA,1642.0,4607.0,Text2905,Category1
GE,Model2906,498.0,B,Single Door,Ice Dispenser,Silver,Plastic,4.0,Germany,421.0,2305.0,Text2906,Category2
LG,Model2907,270.0,B,Side-by-Side,Ice Dispenser,Black,Stainless Steel,2.0,USA,418.0,4343.0,Text2907,Category3
Siemens,Model2908,329.0,A,Single Door,None,White,Glass,3.0,Germany,1610.0,2510.0,Text2908,Category1
Samsung,Model2909,240.0,B,Side-by-Side,None,,Stainless Steel,1.0,India,275.0,4376.0,Text2909,Category3
Whirlpool,Model2910,398.0,B,Double Door,Water Dispenser,White,Plastic,7.0,Germany,911.0,3516.0,Text2910,Category1
Whirlpool,Model2911,245.0,B,Double Door,Water Dispenser,Silver,Stainless Steel,9.0,,203.0,2129.0,Text2911,Category1
Samsung,Model2912,298.0,,Double Door,Smart Connectivity,,Plastic,5.0,Germany,690.0,1531.0,Text2912,Category1
Whirlpool,Model2913,595.0,A++,Single Door,Smart Connectivity,Gray,Stainless Steel,8.0,China,1552.0,4839.0,Text2913,Category1
Frigidaire,Model2914,758.0,A++,Single Door,Ice Dispenser,White,Glass,2.0,India,655.0,3478.0,Text2914,Category3
LG,Model2915,-74.0,A,Double Door,Water Dispenser,Silver,Glass,6.0,USA,571.0,3185.0,Text2915,Category3
Bosch,Model2916,599.0,A,Side-by-Side,None,Black,Stainless Steel,2.0,USA,,3914.0,Text2916,Category2
Bosch,Model2917,677.0,B,Single Door,None,White,Plastic,5.0,Germany,1762.0,2319.0,Text2917,Category3
Haier,Model2918,,A++,Double Door,Water Dispenser,Black,Glass,8.0,USA,599.0,4049.0,Text2918,Category2
Panasonic,Model2919,561.0,A,Side-by-Side,Water Dispenser,Gray,Plastic,9.0,India,1015.0,3113.0,Text2919,Category1
Haier,Model2920,280.0,A+,Side-by-Side,None,Gray,Stainless Steel,4.0,Germany,803.0,1539.0,Text2920,Category3
LG,Model2921,701.0,A++,Side-by-Side,Smart Connectivity,White,Stainless Steel,3.0,China,418.0,4651.0,Text2921,Category3
Frigidaire,Model2922,759.0,A,Single Door,None,Gray,Stainless Steel,5.0,Germany,899.0,3356.0,Text2922,Category1
LG,Model2923,306.0,B,Single Door,Smart Connectivity,White,Stainless Steel,9.0,Germany,835.0,4461.0,Text2923,Category3
Panasonic,Model2924,510.0,A++,Side-by-Side,None,Black,Stainless Steel,1.0,India,341.0,4354.0,Text2924,Category2
Whirlpool,Model2925,177.0,A,Single Door,Smart Connectivity,White,Glass,5.0,India,390.0,2290.0,Text2925,Category3
Haier,Model2926,378.0,A++,Double Door,Smart Connectivity,Silver,Glass,8.0,Germany,1814.0,2359.0,Text2926,Category3
LG,Model2927,489.0,B,Side-by-Side,Smart Connectivity,Black,Stainless Steel,,USA,663.0,4975.0,Text2927,Category1
Panasonic,Model2928,108.0,A++,Double Door,Water Dispenser,Black,Stainless Steel,8.0,Germany,1309.0,1335.0,Text2928,Category3
Haier,Model2929,206.0,A,Single Door,Ice Dispenser,Silver,Glass,9.0,Germany,1965.0,,Text2929,Category1
Electrolux,,553.0,A++,Side-by-Side,,White,Plastic,2.0,India,515.0,3004.0,Text2930,Category1
Frigidaire,Model2931,319.0,A++,Side-by-Side,Ice Dispenser,White,Glass,5.0,Germany,941.0,4205.0,Text2931,Category1
Electrolux,,366.0,B,Double Door,Ice Dispenser,Gray,Stainless Steel,,China,1940.0,1324.0,Text2932,Category3
Whirlpool,Model2933,568.0,A,Single Door,None,Black,Glass,2.0,China,,2012.0,Text2933,
Whirlpool,Model2934,628.0,B,Single Door,Ice Dispenser,White,,2.0,Germany,1114.0,3072.0,Text2934,Category1
Electrolux,Model2935,421.0,A++,Side-by-Side,None,Silver,Glass,5.0,China,1010.0,2938.0,Text2935,Category2
Bosch,Model2936,666.0,A,,Ice Dispenser,,Glass,1.0,Germany,1563.0,1878.0,Text2936,Category2
Haier,Model2937,425.0,A,Double Door,Ice Dispenser,Silver,Stainless Steel,8.0,China,1080.0,1748.0,Text2937,Category2
Br@ndX,Model2938,208.0,B,Double Door,Water Dispenser,Silver,Glass,3.0,Germany,1152.0,3759.0,Text2938,Category3
Bosch,Model2939,321.0,A,Side-by-Side,Water Dispenser,Black,Plastic,6.0,USA,1638.0,3902.0,Text2939,Category1
Electrolux,,353.0,A,Side-by-Side,Smart Connectivity,Silver,Plastic,9.0,India,1066.0,4990.0,Text2940,Category3
Bosch,Model2941,517.0,,Single Door,,Gray,Stainless Steel,6.0,India,839.0,2085.0,Text2941,Category2
GE,Model2942,383.0,A,Single Door,None,Black,Plastic,1.0,India,927.0,2547.0,,Category3
Bosch,Model2943,526.0,A++,Double Door,Water Dispenser,Black,Glass,6.0,China,1467.0,3141.0,Text2943,Category2
Electrolux,Model2944,582.0,A,Double Door,Ice Dispenser,Black,Plastic,7.0,USA,471.0,4435.0,Text2944,Category3
Electrolux,Model2945,420.0,A+,Side-by-Side,None,Silver,Glass,9.0,USA,,4853.0,Text2945,Category1
LG,Model2946,622.0,A,Single Door,Water Dispenser,White,Plastic,3.0,USA,1983.0,2794.0,Text2946,Category1
Panasonic,Model2947,315.0,A,Side-by-Side,Smart Connectivity,White,Glass,6.0,Germany,1724.0,1275.0,Text2947,Category3
Haier,Model2948,479.0,A,Single Door,Ice Dispenser,White,Stainless Steel,8.0,Germany,1593.0,1493.0,Text2948,Category3
Frigidaire,Model2949,166.0,B,Side-by-Side,None,Silver,Stainless Steel,5.0,China,1968.0,2262.0,Text2949,Category3
Bosch,Model2950,300.0,A+,Double Door,None,Black,Glass,4.0,Germany,676.0,2617.0,,Category1
Panasonic,Model2951,698.0,B,Single Door,Smart Connectivity,Gray,Glass,6.0,India,843.0,1150.0,Text2951,Category3
LG,,727.0,A+,Side-by-Side,Ice Dispenser,Silver,Plastic,2.0,China,1219.0,1763.0,,Category2
Haier,Model2953,387.0,A,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,2.0,USA,,4807.0,Text2953,Category3
Whirlpool,Model2954,785.0,B,Side-by-Side,Smart Connectivity,Gray,Stainless Steel,8.0,Germany,1775.0,1986.0,Text2954,Category3
LG,Model2955,415.0,A++,Side-by-Side,Water Dispenser,White,Stainless Steel,4.0,China,1439.0,1246.0,Text2955,Category2
Panasonic,Model2956,422.0,A++,Side-by-Side,None,Black,Stainless Steel,7.0,India,732.0,3549.0,Text2956,
Br@ndX,Model2957,584.0,A,,None,Silver,Plastic,4.0,China,365.0,4931.0,Text2957,Category2
Whirlpool,,557.0,A+,Double Door,Ice Dispenser,Black,Plastic,7.0,Germany,838.0,3674.0,Text2958,Category3
Frigidaire,Model2959,487.0,B,Single Door,Ice Dispenser,Black,Plastic,6.0,Germany,1169.0,,Text2959,Category1
Siemens,Model2960,146.0,A++,Single Door,None,Gray,Stainless Steel,8.0,Germany,620.0,1939.0,Text2960,Category1
Electrolux,Model2961,446.0,B,Side-by-Side,Smart Connectivity,White,Glass,9.0,Germany,201.0,4701.0,Text2961,Category1
Samsung,Model2962,532.0,A+,Side-by-Side,Smart Connectivity,White,Plastic,8.0,China,1663.0,1699.0,Text2962,Category2
Haier,Model2963,683.0,A++,Single Door,Smart Connectivity,White,Stainless Steel,7.0,,1342.0,4323.0,Text2963,Category2
Frigidaire,Model2964,720.0,A+,Double Door,Ice Dispenser,Gray,Stainless Steel,7.0,India,1586.0,1387.0,Text2964,Category2
GE,,293.0,A++,Side-by-Side,Smart Connectivity,White,Stainless Steel,1.0,India,1853.0,2319.0,Text2965,Category1
Bosch,Model2966,649.0,A,Double Door,Ice Dispenser,Black,,8.0,India,1071.0,1088.0,Text2966,Category2
Frigidaire,Model2967,235.0,A++,Side-by-Side,Smart Connectivity,Silver,Plastic,2.0,Germany,1782.0,2119.0,Text2967,Category1
GE,Model2968,749.0,A,Single Door,None,Gray,Stainless Steel,7.0,Germany,200.0,4425.0,Text2968,Category2
LG,Model2969,403.0,A+,Side-by-Side,Smart Connectivity,White,Glass,4.0,,275.0,3713.0,Text2969,Category2
LG,Model2970,102.0,B,Double Door,Ice Dispenser,Black,Glass,1.0,China,742.0,1677.0,Text2970,Category1
Whirlpool,Model2971,265.0,A++,Double Door,Water Dispenser,Gray,Stainless Steel,9.0,USA,1052.0,2744.0,Text2971,Category3
Panasonic,Model2972,160.0,A+,Double Door,Smart Connectivity,Gray,Glass,2.0,India,630.0,4100.0,Text2972,Category1
Siemens,Model2973,478.0,A++,Single Door,Smart Connectivity,Silver,,1.0,India,1234.0,3429.0,Text2973,Category1
Electrolux,Model2974,641.0,A++,Single Door,Ice Dispenser,Gray,Glass,2.0,USA,,3319.0,Text2974,Category1
GE,Model2975,658.0,A++,Side-by-Side,None,Black,Plastic,1.0,China,973.0,3549.0,Text2975,Category1
Br@ndX,Model2976,113.0,B,,None,Gray,Plastic,8.0,USA,1940.0,,Text2976,Category1
Electrolux,Model2977,274.0,A+,Single Door,Smart Connectivity,Black,Glass,3.0,USA,1823.0,1921.0,Text2977,Category2
Whirlpool,Model2978,490.0,A,Single Door,Ice Dispenser,Silver,Glass,9.0,India,1652.0,,Text2978,Category2
GE,Model2979,207.0,B,Single Door,Smart Connectivity,White,,5.0,India,1318.0,4970.0,Text2979,Category1
Haier,Model2980,629.0,A+,Side-by-Side,None,White,Glass,4.0,China,1891.0,3172.0,Text2980,Category1
Frigidaire,Model2981,217.0,A,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,8.0,India,1210.0,4440.0,Text2981,Category1
Panasonic,,523.0,,Side-by-Side,None,Gray,Plastic,9.0,China,302.0,4927.0,Text2982,Category2
Electrolux,Model2983,345.0,A+,Single Door,None,Silver,Glass,2.0,India,572.0,,Text2983,
Panasonic,Model2984,,,Double Door,None,Silver,Glass,5.0,China,722.0,3986.0,Text2984,
Siemens,Model2985,602.0,A++,Side-by-Side,Water Dispenser,Silver,Plastic,3.0,USA,275.0,3761.0,Text2985,Category2
Whirlpool,,337.0,A++,Double Door,Water Dispenser,Gray,Stainless Steel,5.0,USA,1132.0,4875.0,Text2986,Category3
Frigidaire,Model2987,538.0,A,Single Door,Smart Connectivity,Gray,Plastic,1.0,China,1127.0,3972.0,Text2987,Category3
Samsung,Model2988,282.0,A++,Double Door,Ice Dispenser,White,Plastic,1.0,India,,2800.0,Text2988,Category3
Samsung,Model2989,409.0,A+,Single Door,Water Dispenser,Gray,Glass,9.0,USA,1679.0,3999.0,Text2989,Category3
Frigidaire,Model2990,,,Side-by-Side,Ice Dispenser,Silver,Glass,6.0,India,741.0,2927.0,Text2990,Category2
Frigidaire,Model2991,367.0,A++,Single Door,None,White,Stainless Steel,8.0,Germany,1656.0,3026.0,Text2991,Category3
Samsung,Model2992,433.0,A,Single Door,Water Dispenser,Silver,Stainless Steel,8.0,India,1902.0,1855.0,Text2992,Category3
LG,Model2993,657.0,B,Single Door,Water Dispenser,Gray,Stainless Steel,3.0,China,1833.0,2108.0,Text2993,Category2
Bosch,Model2994,376.0,B,Single Door,Ice Dispenser,Gray,Glass,1.0,USA,1884.0,3403.0,Text2994,Category3
Panasonic,Model2995,288.0,B,Single Door,None,Gray,Plastic,1.0,India,1701.0,3909.0,Text2995,Category2
Electrolux,Model2996,109.0,A+,Single Door,,Black,Stainless Steel,9.0,USA,443.0,4570.0,Text2996,Category1
Frigidaire,Model2997,,A,Side-by-Side,Smart Connectivity,Gray,Plastic,9.0,USA,1451.0,,Text2997,Category3
GE,Model2998,721.0,A,Single Door,,Silver,Plastic,1.0,USA,1689.0,3074.0,Text2998,Category3
Haier,Model2999,211.0,B,Side-by-Side,Water Dispenser,Silver,Stainless Steel,1.0,India,547.0,3053.0,Text2999,Category1
Haier,Model3000,233.0,A++,Side-by-Side,Smart Connectivity,Silver,Plastic,1.0,Germany,1682.0,1300.0,Text3000,Category1
Haier,Model3001,614.0,A,Double Door,Water Dispenser,White,Glass,5.0,,1480.0,4927.0,Text3001,Category2
Siemens,Model3002,399.0,A,Double Door,Smart Connectivity,Silver,Plastic,3.0,Germany,1010.0,4114.0,Text3002,Category2
Frigidaire,Model3003,711.0,A,Double Door,None,Black,Stainless Steel,5.0,,1486.0,4873.0,Text3003,Category2
Haier,Model3004,526.0,B,Single Door,Ice Dispenser,Gray,Stainless Steel,8.0,Germany,1794.0,4473.0,Text3004,Category3
Electrolux,Model3005,296.0,A,Double Door,None,Black,Plastic,8.0,China,463.0,4705.0,Text3005,Category3
LG,Model3006,355.0,A,Double Door,Water Dispenser,Silver,Glass,7.0,Germany,1861.0,4464.0,Text3006,Category2
Bosch,Model3007,338.0,A+,Single Door,Ice Dispenser,Silver,Glass,4.0,USA,1749.0,1589.0,Text3007,Category3
Samsung,Model3008,786.0,A++,Side-by-Side,None,Black,Stainless Steel,2.0,Germany,1172.0,1820.0,Text3008,Category1
Haier,Model3009,762.0,B,Single Door,Water Dispenser,Black,Plastic,2.0,USA,724.0,1745.0,Text3009,Category1
Bosch,Model3010,580.0,A++,Double Door,Smart Connectivity,Gray,Plastic,2.0,Germany,583.0,1793.0,Text3010,Category3
Frigidaire,Model3011,717.0,A++,Double Door,Ice Dispenser,Gray,Plastic,7.0,China,1764.0,1629.0,Text3011,Category1
Frigidaire,Model3012,-52.0,A++,Double Door,Smart Connectivity,Silver,,3.0,USA,,1107.0,Text3012,Category3
Siemens,Model3013,716.0,A++,Double Door,Water Dispenser,Black,Stainless Steel,6.0,USA,548.0,3749.0,Text3013,Category2
Siemens,Model3014,102.0,B,Single Door,Ice Dispenser,Black,Glass,4.0,Germany,888.0,4584.0,Text3014,Category2
Whirlpool,Model3015,572.0,A,Side-by-Side,Water Dispenser,Black,Glass,6.0,China,838.0,,Text3015,
Frigidaire,Model3016,554.0,A,Double Door,Smart Connectivity,Silver,Glass,1.0,India,1342.0,1257.0,Text3016,Category2
Frigidaire,,266.0,A++,Side-by-Side,None,Gray,Plastic,8.0,USA,203.0,4881.0,,Category3
Haier,Model3018,171.0,A++,Single Door,Smart Connectivity,Gray,Glass,,,1722.0,4114.0,Text3018,Category2
GE,Model3019,798.0,A,Single Door,Ice Dispenser,Black,Glass,6.0,India,1199.0,3801.0,Text3019,Category3
Frigidaire,Model3020,424.0,B,Single Door,None,Silver,Plastic,3.0,,515.0,4887.0,Text3020,Category3
Haier,Model3021,525.0,B,Double Door,Water Dispenser,Gray,Plastic,3.0,Germany,1791.0,4492.0,Text3021,Category3
GE,Model3022,395.0,A,Single Door,Water Dispenser,White,Plastic,9.0,China,1443.0,3320.0,Text3022,Category1
Whirlpool,Model3023,,B,Side-by-Side,None,Black,Stainless Steel,6.0,USA,1146.0,1355.0,Text3023,Category1
LG,Model3024,740.0,A++,Single Door,Ice Dispenser,Black,Stainless Steel,9.0,India,1115.0,4787.0,Text3024,Category3
Frigidaire,Model3025,328.0,A++,Double Door,Smart Connectivity,White,Plastic,8.0,Germany,1463.0,1904.0,Text3025,Category2
Bosch,Model3026,343.0,A++,Single Door,Water Dispenser,Gray,Glass,5.0,China,322.0,2952.0,Text3026,Category2
LG,Model3027,434.0,A+,Single Door,None,Silver,Stainless Steel,5.0,USA,1177.0,3893.0,Text3027,Category3
Electrolux,Model3028,462.0,A++,Double Door,Ice Dispenser,Black,Plastic,8.0,USA,868.0,4224.0,Text3028,Category3
Br@ndX,Model3029,476.0,B,Single Door,Smart Connectivity,Silver,Glass,8.0,China,1245.0,3945.0,Text3029,Category2
GE,Model3030,511.0,A,Double Door,Ice Dispenser,Silver,Stainless Steel,2.0,Germany,1808.0,1767.0,Text3030,Category1
Electrolux,Model3031,602.0,A++,Single Door,None,Black,,2.0,China,1827.0,2552.0,Text3031,Category2
Haier,Model3032,660.0,A,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,6.0,India,1164.0,4035.0,Text3032,
Samsung,Model3033,323.0,A+,Single Door,Smart Connectivity,Gray,Glass,5.0,China,662.0,1994.0,Text3033,Category2
Panasonic,Model3034,498.0,B,Double Door,None,Gray,Stainless Steel,8.0,Germany,1228.0,1390.0,Text3034,Category1
Frigidaire,Model3035,569.0,A++,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,5.0,Germany,1923.0,3629.0,Text3035,Category3
Frigidaire,Model3036,333.0,A+,Double Door,None,Black,Plastic,5.0,USA,683.0,1624.0,Text3036,Category1
Samsung,Model3037,246.0,A++,Double Door,Smart Connectivity,Silver,Glass,1.0,China,516.0,1913.0,Text3037,Category3
LG,Model3038,588.0,B,Single Door,None,Gray,Glass,1.0,,1605.0,1926.0,Text3038,Category1
Siemens,Model3039,605.0,A++,Side-by-Side,Water Dispenser,Gray,Stainless Steel,2.0,Germany,761.0,4115.0,Text3039,Category3
LG,,433.0,A++,Side-by-Side,Water Dispenser,Black,Glass,7.0,China,1353.0,3781.0,Text3040,Category2
GE,Model3041,565.0,B,Double Door,Ice Dispenser,Gray,Plastic,9.0,China,1389.0,4857.0,Text3041,Category2
Panasonic,Model3042,417.0,A+,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,7.0,India,430.0,3161.0,Text3042,Category3
Whirlpool,Model3043,785.0,A+,Single Door,Ice Dispenser,White,Glass,6.0,Germany,1718.0,2620.0,Text3043,Category1
Siemens,Model3044,379.0,A+,Side-by-Side,Ice Dispenser,White,Stainless Steel,5.0,Germany,586.0,3055.0,Text3044,Category1
LG,Model3045,472.0,B,Double Door,Ice Dispenser,Gray,Glass,2.0,China,1140.0,1505.0,Text3045,Category2
Whirlpool,Model3046,578.0,A,Single Door,Water Dispenser,Silver,Glass,7.0,USA,1193.0,2131.0,Text3046,Category1
Panasonic,Model3047,149.0,A,Side-by-Side,Water Dispenser,White,Glass,,China,651.0,2795.0,Text3047,Category2
Whirlpool,Model3048,540.0,B,Double Door,Ice Dispenser,White,Stainless Steel,7.0,India,305.0,2821.0,Text3048,Category2
Panasonic,Model3049,266.0,A++,Side-by-Side,Water Dispenser,Gray,Plastic,8.0,Germany,861.0,4467.0,Text3049,Category2
LG,Model3050,477.0,B,Double Door,Ice Dispenser,Black,Plastic,5.0,India,1845.0,1720.0,Text3050,Category1
Whirlpool,Model3051,141.0,,Double Door,Ice Dispenser,Gray,Plastic,4.0,China,1290.0,4189.0,Text3051,Category3
LG,Model3052,787.0,B,Double Door,Ice Dispenser,Silver,Glass,5.0,Germany,600.0,2435.0,Text3052,Category2
Bosch,Model3053,286.0,A,Double Door,Ice Dispenser,,Stainless Steel,5.0,India,717.0,2899.0,Text3053,Category2
Siemens,Model3054,565.0,A,Side-by-Side,Ice Dispenser,Silver,Plastic,2.0,India,932.0,2541.0,Text3054,Category1
Electrolux,Model3055,720.0,A++,Single Door,Smart Connectivity,Black,Plastic,2.0,,697.0,2571.0,Text3055,Category3
Bosch,Model3056,,B,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,1.0,Germany,1432.0,1358.0,,Category2
LG,,647.0,B,Single Door,,White,Glass,3.0,China,418.0,,Text3057,Category2
Siemens,Model3058,595.0,B,Double Door,None,White,Plastic,1.0,Germany,1532.0,1556.0,Text3058,Category2
Haier,Model3059,253.0,,Side-by-Side,None,Black,,8.0,India,,3598.0,Text3059,Category3
Samsung,Model3060,753.0,B,,None,White,Plastic,,China,1273.0,2049.0,Text3060,Category2
Haier,Model3061,213.0,A,Double Door,None,Black,Plastic,3.0,Germany,901.0,4988.0,,Category3
Electrolux,Model3062,432.0,A,Double Door,None,Silver,Plastic,4.0,China,267.0,2231.0,Text3062,Category3
GE,Model3063,620.0,A++,Side-by-Side,None,Gray,Glass,8.0,Germany,459.0,2645.0,Text3063,Category3
Bosch,Model3064,,A,Side-by-Side,None,,Plastic,9.0,Germany,1931.0,1230.0,Text3064,Category2
Siemens,,464.0,B,Single Door,Smart Connectivity,Black,Stainless Steel,,China,1590.0,2262.0,Text3065,Category3
GE,Model3066,,A,Single Door,Smart Connectivity,Gray,Plastic,4.0,USA,802.0,2169.0,Text3066,Category2
LG,Model3067,434.0,A+,Single Door,Smart Connectivity,White,Plastic,3.0,India,1587.0,,Text3067,Category1
LG,Model3068,786.0,A++,Side-by-Side,Water Dispenser,Black,Stainless Steel,1.0,Germany,1089.0,4451.0,Text3068,Category1
GE,Model3069,713.0,A+,Double Door,Smart Connectivity,,Stainless Steel,6.0,China,543.0,4818.0,Text3069,Category1
Whirlpool,Model3070,176.0,B,Double Door,Smart Connectivity,Silver,Glass,,Germany,1710.0,2444.0,Text3070,Category2
Panasonic,Model3071,713.0,B,Side-by-Side,None,Gray,Glass,9.0,USA,256.0,1543.0,Text3071,Category1
Bosch,Model3072,226.0,A,Single Door,None,White,Glass,8.0,India,1650.0,1375.0,Text3072,Category3
Siemens,Model3073,150.0,A+,Double Door,Smart Connectivity,Gray,Plastic,9.0,Germany,1762.0,2703.0,Text3073,Category3
Samsung,Model3074,459.0,A++,Double Door,Ice Dispenser,Silver,,5.0,Germany,1579.0,,Text3074,Category1
Bosch,Model3075,770.0,A+,Side-by-Side,Ice Dispenser,Black,Glass,6.0,China,1910.0,4213.0,Text3075,Category1
Frigidaire,Model3076,740.0,B,Side-by-Side,Ice Dispenser,Gray,Glass,4.0,India,1736.0,3649.0,,Category3
Frigidaire,Model3077,112.0,A,Single Door,None,Gray,Plastic,6.0,USA,1328.0,3473.0,Text3077,Category2
Siemens,Model3078,726.0,A++,Side-by-Side,Water Dispenser,White,Stainless Steel,4.0,,1830.0,4978.0,Text3078,Category2
LG,Model3079,499.0,A++,Side-by-Side,,Silver,Plastic,8.0,,256.0,3113.0,Text3079,Category1
Panasonic,Model3080,314.0,B,,Smart Connectivity,Gray,Plastic,7.0,China,491.0,1867.0,Text3080,Category2
Samsung,Model3081,501.0,A++,Double Door,None,,Plastic,6.0,China,476.0,1189.0,Text3081,Category2
Bosch,,483.0,A,Double Door,Smart Connectivity,White,Glass,3.0,India,1726.0,4548.0,Text3082,Category1
LG,Model3083,141.0,B,Side-by-Side,None,Gray,Glass,9.0,Germany,1938.0,1110.0,Text3083,Category3
Whirlpool,Model3084,455.0,A++,Side-by-Side,Water Dispenser,,Stainless Steel,4.0,India,1747.0,3111.0,Text3084,Category2
Panasonic,Model3085,160.0,A++,Side-by-Side,Water Dispenser,Silver,Plastic,3.0,Germany,323.0,2849.0,Text3085,Category1
Whirlpool,Model3086,471.0,B,Single Door,None,Gray,Stainless Steel,4.0,India,474.0,4862.0,Text3086,Category3
Panasonic,Model3087,129.0,,Double Door,Smart Connectivity,Silver,Glass,9.0,China,1108.0,4794.0,Text3087,Category1
Bosch,Model3088,324.0,A,Single Door,None,Silver,Plastic,2.0,USA,,4179.0,Text3088,Category3
LG,Model3089,290.0,B,Single Door,Water Dispenser,Black,Plastic,1.0,Germany,1023.0,4431.0,Text3089,Category2
Frigidaire,Model3090,478.0,A,Side-by-Side,Ice Dispenser,Gray,Plastic,4.0,Germany,1339.0,3204.0,Text3090,Category1
